,customer_id,predictions
0,00023e3dd8618bc63ccad995a5ac62e21177338d642d66b42e0038c6b10f655a,"[452818021, 452818029, 452818031, 452818034, 452818011]"
1,00080403a669b3b89d1bef1ec73ea466d95e39698d6dded141c0e3a8d4599d0c,"[496923008, 451744001, 451744005, 451744006, 496923015, 305304010, 496923018, 451744015, 305304020, 510618004]"
2,0008d644deb96bdc0ca262f161cf6d5e9a4e619bb75faa76704d7955d5e54f0f,"[486639009, 486639011, 486639012, 486639013, 486639004]"
3,000989f72a2b8e5da2f4abafc86c2e213816fa2ff2a060ccf17ba290e00c5d85,"[488561027, 488561032, 488561036, 488561015, 488561021]"
4,000a74a8ce6e616c1d26d186d8ffae487878b89223b60f5d369665e367faa677,"[408875009, 408875016, 408875028, 408875030, 408875001]"
5,000c5c714aefd0d5ed1205e2781070167826ffc117ab9ec579b9f3851392dfad,"[399256001, 399256002, 399256003, 399256009, 399256013]"
6,000fa1b80857fa40bf25990bc1b1b65afc63923a8e4b5762db34e4bb46032d29,"[470789028, 470789030, 470789031, 470789001, 470789003]"
7,00108c4b7847b71af7540e34b9842b1a18b5c5ee28e9481c07ccbe2dda375363,"[506098016, 469658017, 253448002, 469658019, 469658020, 253448003, 469658022, 325087018, 506098006, 506098007, 253448056, 506098011, 469658014]"
8,0010e8eb18f131e724d6997909af0808adbba057529edb1523944f7d4e02b4ce,"[237347011, 237347024, 429313021, 237347060, 429313013, 429313016, 429313017, 237347036, 237347037, 429313023]"
9,00125440be6cd148c3599b9c5a2d55f5838c1b0257d35643038c38a60c691fe8,"[316441033, 316441034, 316441038, 316441011, 316441012]"
10,00130faf36f2571cf7e08451b317545004a8a85327661ffe0f78d4728047d74f,"[253448001, 253448003, 253448056, 253448059, 253448062]"
11,0015251a0dcebac75714f68f50a9a282731dc2c8269f7a20cfa81e144fb27551,"[471074002, 464277014, 426199002, 471074011, 471074012]"
